Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-02-14,1.2315,1.1672,1.1935,1.192,1.193,1.194,196754.23210417
2017-02-15,1.25,1.1887,1.24745,1.25,1.245,1.2499,179064.85915128
2017-02-16,1.2787,1.24,1.2668,1.265,1.265,1.2686,107757.96457939
2017-02-17,1.2699,1.235,1.2375,1.235,1.2345,1.2405,189164.71581894
2017-02-18,1.2529,1.23,1.23395,1.2352,1.2301,1.2378,105444.28875777
2017-02-19,1.245,1.217,1.2239,1.222,1.2221,1.2257,155899.65473285
2017-02-20,1.2385,1.218,1.22225,1.2245,1.22,1.2245,49065.81711336
2017-02-21,1.2499,1.215,1.23005,1.23,1.23,1.2301,56578.45306227
2017-02-22,1.2633,1.22,1.255,1.2525,1.253,1.257,96419.04709044
2017-02-23,1.257,1.216,1.21975,1.227,1.2181,1.2214,52471.57901737
2017-02-24,1.244,1.209,1.23835,1.2416,1.2321,1.2446,138317.86890126
2017-02-25,1.2499,1.2,1.21385,1.2125,1.2125,1.2152,352034.06409683
2017-02-26,1.2209,1.1731,1.2122,1.211,1.2098,1.2146,139645.4243188
2017-02-27,1.2564,1.1901,1.2511,1.2505,1.25,1.2522,177146.73974937
2017-02-28,1.26,1.23,1.23665,1.235,1.235,1.2383,236906.12320246
2017-03-01,1.2679,1.225,1.2354,1.2311,1.2317,1.2391,224557.99529057
2017-03-02,1.43,1.2255,1.40325,1.403,1.4025,1.404,658583.17796936
2017-03-03,1.4076,1.34,1.3638,1.3607,1.3612,1.3664,369329.69992182
2017-03-04,1.44,1.35,1.43825,1.44,1.4365,1.44,292688.35576055
2017-03-05,1.4769,1.387,1.42585,1.4292,1.4218,1.4299,285756.55951521
2017-03-06,1.4304,1.385,1.3922,1.3939,1.3905,1.3939,156239.57898157
2017-03-07,1.4399,1.3939,1.42825,1.4274,1.4251,1.4314,92634.48530344
2017-03-08,1.4327,1.345,1.372,1.37,1.37,1.374,314809.10199432
2017-03-09,1.3746,1.2801,1.28075,1.2801,1.2805,1.281,373439.51131838
2017-03-10,1.3348,1.275,1.32255,1.3205,1.3205,1.3246,160711.14134128
2017-03-11,1.4299,1.2202,1.29645,1.291,1.2941,1.2988,810919.02985896
2017-03-12,1.3833,1.2809,1.3759,1.3727,1.3727,1.3791,227818.87492367
2017-03-13,1.65,1.4017,1.6429,1.64,1.64,1.6458,844438.78637252
2017-03-14,1.7698,1.6094,1.63645,1.6301,1.63,1.6429,808358.80155601
2017-03-20,1.9715,1.82,1.9305,1.9299,1.9243,1.9367,397441.73975606
2017-03-21,2.38,1.866,2.34525,2.35,2.3405,2.35,1341814.5546509
2017-03-22,2.46,2.203,2.29685,2.3,2.2895,2.3042,827133.95026676
2017-03-23,2.35,2.1691,2.2435,2.2559,2.237,2.25,433336.02435287
2017-03-24,2.4645,2.24,2.37915,2.39,2.3683,2.39,536622.67578447
2017-03-25,2.4709,2.293,2.31005,2.3204,2.3014,2.3187,417660.19347581
2017-03-26,2.3687,2.2524,2.2977,2.318,2.289,2.3064,204097.9498777
2017-03-27,2.3499,2.1,2.1078,2.1023,2.1006,2.115,296314.08807473
2017-03-28,2.339,2.1,2.25125,2.2501,2.2501,2.2524,324882.40933183
2017-03-29,2.38,2.2374,2.32405,2.3222,2.3189,2.3292,246162.43744123
2017-03-30,3.0,2.2508,2.7925,2.7984,2.79,2.795,1046636.2877587
2017-03-31,2.994,2.6,2.756,2.7501,2.7506,2.7614,1308759.3419047
2017-04-01,2.832,2.7353,2.73965,2.7353,2.7353,2.744,199268.84580147
2017-04-02,2.8,2.5,2.64655,2.66,2.6368,2.6563,651862.42028868
2017-04-03,2.75,2.5009,2.5422,2.537,2.537,2.5474,471857.42841348
2017-04-04,2.7081,2.5246,2.65525,2.65,2.65,2.6605,276524.17719443
2017-04-05,2.7799,2.6202,2.7681,2.7683,2.7651,2.7711,254915.8021975
2017-04-06,2.8375,2.443,2.6403,2.6521,2.6355,2.6451,805462.49372189
2017-04-07,2.7,2.5626,2.57935,2.5755,2.5755,2.5832,279990.11456662
2017-04-08,2.8252,2.5718,2.7258,2.7296,2.722,2.7296,359138.61306929
2017-04-09,2.7362,2.6001,2.69115,2.6941,2.6838,2.6985,198852.40699834
2017-04-10,2.6985,2.543,2.64325,2.6464,2.6401,2.6464,141074.44396411
2017-04-11,2.6501,2.5836,2.5947,2.5991,2.5886,2.6008,101247.95349043
2017-04-12,2.7015,2.5444,2.6657,2.6625,2.6583,2.6731,236842.216911
2017-04-13,2.6885,2.588,2.64835,2.65,2.6378,2.6589,200164.56505432
2017-04-14,2.7794,2.5975,2.7187,2.7273,2.711,2.7264,348196.12889862
2017-04-15,2.73,2.6456,2.70505,2.7035,2.697,2.7131,102055.82438548
2017-04-16,2.7187,2.6115,2.66795,2.675,2.6627,2.6732,142415.97036803
2017-04-17,2.6986,2.6373,2.6673,2.6681,2.6665,2.6681,186859.1884246
2017-04-18,3.08,2.666,3.0118,3.0286,2.9988,3.0248,585132.53557873
2017-04-19,3.3999,2.9001,3.3325,3.33,3.3305,3.3345,714802.07318857
2017-04-20,3.5748,3.163,3.3796,3.38,3.3792,3.38,908399.3414008
2017-04-21,3.513,3.2072,3.33315,3.3384,3.328,3.3383,606320.60574286
2017-04-22,3.4373,3.328,3.40895,3.4273,3.4001,3.4178,209976.3343662
2017-04-23,3.7999,3.41,3.78105,3.7999,3.7662,3.7959,632656.66114824
2017-04-24,4.3489,3.7304,4.24985,4.25,4.2497,4.25,1230541.7432215
2017-04-25,4.4199,4.0101,4.1941,4.1906,4.1902,4.198,858633.28571192
2017-04-26,5.0826,4.198,4.89065,4.8993,4.8831,4.8982,1585383.0190215
2017-04-27,5.5994,4.8795,5.3341,5.3499,5.3189,5.3493,1530175.954009
2017-04-28,5.56,4.901,5.2145,5.2119,5.2121,5.2169,648214.06423781
2017-04-29,5.8,5.1297,5.7814,5.773,5.7744,5.7884,509204.09460975
2017-04-30,6.978,5.7001,6.9498,6.95,6.9496,6.95,1221649.0623978
2017-05-01,7.999,6.5501,6.9695,6.9997,6.9392,6.9998,2255649.8855539
2017-05-02,7.52,6.5822,7.01875,7.001,7.001,7.0365,1057549.1013741
2017-05-03,7.2999,6.82,7.12725,7.1308,7.1237,7.1308,589335.09970875
2017-05-04,7.7,7.01,7.37105,7.379,7.3622,7.3799,942689.84782168
2017-05-05,7.825,6.81,7.2661,7.2781,7.2564,7.2758,1206013.9409455
2017-05-06,7.2866,6.7933,6.96055,6.9501,6.9506,6.9705,462207.03187891
2017-05-07,7.5062,6.9501,7.1383,7.1105,7.1154,7.1612,545234.90689958
2017-05-08,7.1591,6.4,6.57635,6.5607,6.5608,6.5919,979429.04724362
2017-05-09,6.5709,5.231,6.2452,6.2499,6.2211,6.2693,1278666.6058041
2017-05-10,6.8879,6.0,6.4239,6.406,6.406,6.4418,677127.29444126
2017-05-11,6.674,6.1458,6.3264,6.3438,6.3102,6.3426,409141.43746823
2017-05-12,6.5272,6.1502,6.2659,6.282,6.2527,6.2791,257740.56903301
2017-05-13,6.2706,5.7602,6.02725,6.0518,6.0029,6.0516,322261.86104389
2017-05-14,6.95,6.0222,6.8717,6.8636,6.8516,6.8918,519708.97958655
