Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-12-10,98.023,90.3,92.4275,92.428,92.427,92.428,319722.1134605
2018-12-11,94.226,87.2,89.272,89.253,89.271,89.273,324751.93609212
2018-12-12,94.146,87.906,91.6155,91.616,91.615,91.616,314672.69005415
2018-12-13,93.048,85.944,87.2735,87.273,87.273,87.274,319755.67873258
2018-12-14,88.54805721,83.666,84.981,85.039,84.952,85.01,320101.16832545
2018-12-15,86.698,83.17,85.8835,85.823,85.883,85.884,219977.19409807
2018-12-16,91.461,85.57332833,86.6405,86.64,86.64,86.641,303862.22701266
2018-12-17,100.39,86.21167281,97.3995,97.391,97.399,97.4,535256.08621082
2018-12-18,105.77,94.498,103.375,103.37905104,103.37,103.38,443477.14178454
2018-12-19,110.9,101.64895759,102.855,102.87,102.85,102.86,660039.64339964
2018-12-20,120.7,101.4,118.635,118.65,118.61,118.66,803313.23751556
2018-12-21,122.66,108.65,111.695,111.7,111.69,111.7,623707.96988497
2018-12-22,120.09584901,108.85,119.885,119.88,119.85,119.92,338839.26384128
2018-12-23,138.94,120.48,133.825,133.82,133.82,133.83,669593.1723208
2018-12-24,163.5,133.48,142.655,142.6,142.65,142.66,1269883.0454559
2018-12-25,143.5,124.5,132.195,132.2,132.19,132.2,858880.7334499
2018-12-26,141.65,127.36,134.095,134.05,133.99,134.2,553919.71120381
2018-12-27,136.0,116.3,118.475,118.47,118.46,118.49,684678.25873614
2018-12-28,143.9,117.1,140.26,140.28,140.25,140.27,748610.10884669
2018-12-29,153.0,136.0,140.065,140.07,140.0,140.13,665420.933691
2018-12-30,145.25,134.0,143.775,143.69,143.77,143.78,442165.59463935
2018-12-31,144.5,132.05,135.785,135.78,135.78,135.79,377369.087041
2019-01-01,148.15192358,134.68,144.095,144.1,144.09,144.1,389440.16952986
2019-01-02,163.67,143.86,160.745,160.7457989,160.74,160.75,563365.91372823
2019-01-04,162.4,149.78,158.99,158.99,158.98,159.0,552450.43803548
2019-01-05,167.0,155.0,158.435,158.11,158.43,158.44,499868.90792545
2019-01-06,165.86,152.59,160.795,160.61,160.79,160.8,506537.6639126
2019-01-07,162.59,153.0,154.56,154.55,154.55,154.57,193750.18742443
2019-01-09,162.76,151.0,152.89,152.88,152.88,152.9,291645.42262475
2019-01-11,131.79,124.43,128.11,128.07,128.09,128.13,279850.694859
2019-01-12,130.37,126.1,127.335,127.33,127.33,127.34,142172.74674954
2019-01-13,128.06,116.1,117.855,117.86,117.85,117.86,245381.42516803
2019-01-14,134.5,117.79,131.3,131.29,131.29,131.31,379739.06838302
2019-01-15,134.29,119.29,122.79,122.76,122.75,122.83,359344.7164493
2019-01-16,131.36,121.38,124.985,124.89,124.98,124.99,299989.14970353
2019-01-17,127.32,119.34,125.405,125.39,125.4,125.41,258619.5867953
2019-01-18,125.66,120.16,121.895,121.89,121.89,121.9,146598.29345313
2019-01-19,132.36,121.87653566,125.985,125.99,125.98,125.99,284503.87893324
2019-01-20,126.87,107.51,119.005,119.00360357,119.0,119.01,370037.21782493
2019-01-21,120.53,114.65,117.405,117.4,117.4,117.41,207723.2178214
2019-01-22,122.12,112.2,120.17,120.21,120.15,120.19,298254.06016135
2019-01-23,121.29,117.03,118.555,118.55,118.55,118.56,152378.71940705
2019-01-24,120.12,115.65,118.835,118.8789445,118.81,118.86,180845.33819343
2019-01-25,120.0,116.01,117.145,117.14,117.14,117.15,139504.56982329
2019-01-26,122.0,117.0,117.425,117.4,117.42,117.43,135668.08313601
2019-01-27,118.49,112.16,113.97,113.98,113.96,113.98,237061.46765234
2019-01-28,114.45,103.2,107.355,107.36,107.35,107.36,369363.43737966
2019-01-29,108.36,104.16,106.755,106.75,106.75,106.76,163276.3109127
2019-01-30,112.06,105.07,110.805,110.8,110.8,110.81,323700.30153232
2019-01-31,113.88,107.17,108.225,108.27,108.22,108.23,178839.20225767
2019-02-01,110.67,105.51,109.735,109.73,109.73,109.74,191049.50043382
2019-02-02,114.33389877,107.93,113.105,113.1557637,113.09,113.12,149873.86781562
2019-02-03,114.2,107.0,108.435,108.49,108.43,108.44,190867.74371333
2019-02-04,110.6,107.77,108.405,108.44,108.39,108.42,105098.83019376
2019-02-05,109.17,107.36,108.775,108.78,108.77,108.78,66724.68809348
2019-02-06,109.0,102.49,106.145,106.13,106.14,106.15,279989.89842227
2019-02-07,107.75,104.76,105.505,105.5,105.5,105.51,114670.93717202
2019-02-08,124.88,105.00230043,121.34,121.32,121.32,121.36,518087.67239276
2019-02-09,123.73,119.55,121.25,121.22,121.21,121.29,150119.95996652
2019-02-10,128.16,118.0,127.235,127.23,127.23,127.24,243753.66150581
2019-02-11,127.31,121.21,122.615,122.61,122.61,122.62,206979.12064968
2019-02-12,127.0,119.22,124.615,124.61,124.61,124.62,225272.39156082
2019-02-13,130.46398664,122.45,123.825,123.71,123.82,123.83,243369.37013598
2019-02-14,126.35,122.06,122.895,122.89,122.89,122.9,178890.29975106
2019-02-15,127.4,122.19,123.735,123.73,123.73,123.74,179370.76473661
2019-02-16,127.25,123.73,125.155,125.15,125.15,125.16,121108.71721
2019-02-17,139.5,124.35186336,137.005,137.0,137.0,137.01,516989.12290076
2019-02-18,152.0,134.7,148.695,148.7,148.69,148.7,677075.78555343
2019-02-19,153.76,145.76,146.305,146.3,146.3,146.31,342571.54270194
2019-02-20,152.99,143.6,151.845,151.82,151.84,151.85,312757.56352543
2019-02-21,156.4,145.0,147.8,147.7983321,147.79,147.81,315534.47637836
2019-02-22,152.43,146.1,151.625,151.62,151.62,151.63,346592.73107398
2019-02-23,163.78,148.75,161.385,161.37,161.37,161.4,441693.60044543
2019-02-25,144.78,134.96,141.465,141.47,141.46,141.47,321992.15821945
2019-02-26,141.75,136.22,139.6,139.61,139.58,139.62,139796.80397458
2019-02-27,144.19,128.8,138.125,138.19133777,138.12,138.13,370957.79038023
2019-02-28,143.0,136.0,138.495,138.5,138.49,138.5,326389.31632834
2019-03-01,141.44,137.81,138.62,138.66,138.59,138.65,111969.0429824
2019-03-02,139.31,132.63,135.64,135.654351,135.63,135.65,178934.88141038
2019-03-03,137.99,130.4,133.365,133.36787975,133.36,133.37,109020.25154761
2019-03-04,133.88740746,125.88,128.48,128.48769316,128.47,128.49,217175.60317695
2019-03-05,141.0,127.74,139.55,139.55,139.54,139.56,299187.65832469
2019-03-06,143.83,136.5,140.595,140.6,140.59,140.6,236285.2361057
2019-03-07,143.3,138.32,139.625,139.62,139.62,139.63,143889.47113754
2019-03-08,143.06280348,131.0,136.115,136.12,136.11,136.12,253703.03957572
2019-03-09,141.71,135.37,139.875,139.88,139.87,139.88,172283.33785414
2019-03-10,140.4,136.5,138.845,138.85,138.84,138.85,101188.20616525
2019-03-11,139.13688441,133.46,136.075,136.01,136.07,136.08,166639.56159278
2019-03-12,139.01,130.55,136.185,136.29,136.18,136.19,189906.26728502
2019-03-13,136.65332573,133.42,134.555,134.56,134.55,134.56,100746.09276434
2019-03-14,138.51,131.56,134.615,134.61,134.61,134.62,150297.11328412
2019-03-15,141.19,134.57,138.745,138.74314328,138.74,138.75,259326.9699914
2019-03-16,147.5,138.54,143.985,143.98429881,143.98,143.99,191753.85267028
2019-03-17,144.25,140.0,142.265,142.27,142.26,142.27,122626.88302826
2019-03-18,144.88,138.3,140.905,140.9,140.9,140.91,148603.45735703
2019-03-19,142.34,139.81,141.355,141.35495084,141.35,141.36,83341.09114984
2019-03-20,143.02,138.77,142.475,142.48,142.47,142.48,116811.6319215
2019-03-21,142.78,135.0,137.435,137.41,137.43,137.44,172099.86276325
2019-03-22,139.49,136.15,138.095,138.1,138.09,138.1,91653.53243796
2019-03-23,140.7,137.8,139.02,138.98,139.01,139.03,82467.7325596
2019-03-24,139.39,136.69,137.755,137.75,137.75,137.76,59563.84289216
2019-03-25,138.76,132.67124053,135.155,135.15251895,135.15,135.16,111551.15395745
2019-03-26,136.26,133.9,135.275,135.28,135.27,135.28,104957.86245101
2019-03-27,141.3,135.33,140.555,140.55,140.55,140.56,178933.21456209
2019-03-28,142.19,139.42,139.775,139.78,139.77,139.78,64582.07628687
2019-03-29,145.72,139.87,144.205,144.2,144.2,144.21,117435.4545884
2019-03-30,149.17,142.03,144.275,144.27,144.27,144.28,177109.74173504
2019-03-31,144.68,142.64,143.575,143.57,143.57,143.58,60367.01163292
2019-04-01,145.58,141.0,143.585,143.58,143.58,143.59,99662.49911524
2019-04-02,164.79,142.94,163.265,163.26,163.26,163.27,541186.84060792
2019-04-03,181.33,160.0,164.85,164.81,164.79,164.91,664388.15297219
2019-04-04,165.37787205,151.82,158.455,158.4581717,158.45,158.46,471607.54197312
2019-04-05,170.0,157.76,166.745,166.75,166.74,166.75,188614.08109195
2019-04-06,174.32,161.71,166.345,166.35,166.34,166.35,257887.94051356
2019-04-07,178.99,165.86,177.17,177.19,177.16,177.18,207212.29659085
2019-04-08,187.98,173.81,182.005,182.01,182.0,182.01,474974.2844083
2019-04-09,182.65,175.52,176.475,176.47,176.47,176.48,235617.04571667
2019-04-10,186.97,169.01,176.305,176.26,176.3,176.31,420760.88004932
2019-04-11,177.64,160.89,165.355,165.35,165.35,165.36,339873.73085809
2019-04-12,168.51,160.2,166.095,166.09687406,166.09,166.1,139124.38968453
2019-04-13,167.19,162.82,164.895,164.9,164.89,164.9,117606.37765825
2019-04-14,170.77678691,162.48,169.795,169.79289418,169.79,169.8,162104.17651479
2019-04-15,170.52,156.42,160.455,160.4539185,160.45,160.46,228910.99587241
